Command	BIT 8	BIT 7	BIT 6	BIT 5	BIT 4	BIT 3	BIT 2	BIT 1	Description	Notes
197	1	1	0	0	0	1	0	1	DPS PQGS ARM 2 - DISABLE	
198	1	1	0	0	0	1	1	0	Master C&W alarm reset - COMMAND	
199	1	1	0	0	0	1	1	1	Master C&W alarm reset - COMMAND RESET	
200	1	1	0	0	1	0	0	0	THRUST ISOLATION VALVES, QUADRANT 4, SYSTEM B - CLOSE	
201	1	1	0	0	1	0	0	1	THRUST ISOLATION VALVES, QUADRANT 4, SYSTEM B - CLOSE RESET	
202	1	1	0	0	1	0	1	0		
203	1	1	0	0	1	0	1	1		
204	1	1	0	0	1	1	0	0		
205	1	1	0	0	1	1	0	1		
206	1	1	0	0	1	1	1	0		
207	1	1	0	0	1	1	1	1		
208	1	1	0	1	0	0	0	0		
209	1	1	0	1	0	0	0	1		
210	1	1	0	1	0	0	1	0		
211	1	1	0	1	0	0	1	1		
212	1	1	0	1	0	1	0	0	DPS PQGS 2 - ARM	
213	1	1	0	1	0	1	0	1	DPS PQGS 2 - OFF	
214	1	1	0	1	0	1	1	0		
215	1	1	0	1	0	1	1	1		
216	1	1	0	1	1	0	0	0		
217	1	1	0	1	1	0	0	1		
218	1	1	0	1	1	0	1	0		
219	1	1	0	1	1	0	1	1		
220	1	1	0	1	1	1	0	0		
221	1	1	0	1	1	1	0	1		
222	1	1	0	1	1	1	1	0	ECS ascent water coolant valve - OPEN	
223	1	1	0	1	1	1	1	1	ECS ascent water coolant valve - OPEN RESET	
224	1	1	1	0	0	0	0	0		
225	1	1	1	0	0	0	0	1		
226	1	1	1	0	0	0	1	0		
227	1	1	1	0	0	0	1	1		
228	1	1	1	0	0	1	0	0	DPS PQGS ARM 1 - ENABLE	
229	1	1	1	0	0	1	0	1	DPS PQGS ARM 1 - DISABLE	
230	1	1	1	0	0	1	1	0		
231	1	1	1	0	0	1	1	1		
232	1	1	1	0	1	0	0	0	THRUST ISOLATION VALVES, QUADRANT 4, SYSTEM A - CLOSE	
233	1	1	1	0	1	0	0	1	THRUST ISOLATION VALVES, QUADRANT 4, SYSTEM A - CLOSE RESET	
234	1	1	1	0	1	0	1	0		
235	1	1	1	0	1	0	1	1		
236	1	1	1	0	1	1	0	0	DFI/TM calibrate - ON	
237	1	1	1	0	1	1	0	1	DFI/TM calibrate - OFF	
238	1	1	1	0	1	1	1	0		
239	1	1	1	0	1	1	1	1		
240	1	1	1	1	0	0	0	0		
241	1	1	1	1	0	0	0	1		
242	1	1	1	1	0	0	1	0		
243	1	1	1	1	0	0	1	1		
244	1	1	1	1	0	1	0	0	DPS PQGS 1 - ARM	
245	1	1	1	1	0	1	0	1	DPS PQGS 1 - OFF	
246	1	1	1	1	0	1	1	0		
247	1	1	1	1	0	1	1	1		
248	1	1	1	1	1	0	0	0		
249	1	1	1	1	1	0	0	1		
250	1	1	1	1	1	0	1	0		
251	1	1	1	1	1	0	1	1		
252	1	1	1	1	1	1	0	0	RCS manifold crossfeed valve - OPEN	
253	1	1	1	1	1	1	0	1	RCS manifold crossfeed valve - OPEN RESET	
254	1	1	1	1	1	1	1	0	RCS manifold crossfeed valve - CLOSE	
255	1	1	1	1	1	1	1	1	RCS manifold crossfeed valve - CLOSE RESET	
