-41	-31	-21	-11	FIND	DRAWING	TITLE	STRIKE
1	1	1	1	17	1010942	TRANSFORMER	
1	1	1	1	16	2014700-011	SWITCH, ATTITUDE IMPULSE	
1	1	1	1	15	1010905-5	SWITCH, TOGGLE	
1	1	1	1	14	1010905-3	SWITCH, TOGGLE	
1	1	1	1	13	1010904-2	SWITCH, PUSHBUTTON	
1	1	1	1	12	1010904-1	SWITCH, PUSHBUTTON	
1	1	1	1	11	1010903-9	SWITCH, TOGGLE	
1	1	1	1	10	1010903-8	SWITCH, TOGGLE	
1	1	1	1	9	1010902-6	SWITCH, TOGGLE	
1	1	1	1	8	1010905-4	SWITCH, TOGGLE	
1	1	1	1	7	1010902-4	SWITCH, TOGGLE	
7	7	7	7	6	1008943-004 OR 1008944-004	LAMP, ELECTROLUMINESCENT	
1	1	1	1	5	1008943-008 OR 1008944-008	LAMP, ELECTROLUMINESCENT	
1	1	1	1	4	1008943-001 OR 1008943-001	LAMP, ELECTROLUMINESCENT	
1	1	1	1	3	1008824-1	MASTER ALARM ANNUNCIATOR	
1	1	1	1	2	1010949	CONDITION ANNUNCIATOR	
1	1	1	1	1	2014550-011	SEXTANT HAND CONTROLLER	
							
						PROOFED	
