-31	-21	-11	FIND	STRIKE	DRAWING	TITLE	NOTE
X	X	X	REF		2014507	SCHEMATIC DIAGRAM	
1	1	1	19		2014658	SUPPORT, SWITCH	
1	1	1	18		1010268-5	LAMP, INCANDESCENT	
1	1	1	17		1010942	TRANSFORMER	
1	1	1	16		2014700-011	SWITCH, ATTITUDE IMPULSE	
1	1	1	15		1010905-5	SWITCH, TOGGLE	
1	1	1	14		1010905-3	SWITCH, TOGGLE	
1	1	1	13		1010904-2	SWITCH, PUSH BUTTON	
1	1	1	12		1010904-1	SWITCH, PUSH BUTTON	
1	1	1	11		1010903-9	SWITCH, TOGGLE	
1	1	1	10		1010903-8	SWITCH, TOGGLE	
1	1	1	9		1010902-6	SWITCH, TOGGLE	
1	1	1	8		1010902-5	SWITCH, TOGGLE	
1	1	1	7		1010902-4	SWITCH, TOGGLE	
		7	6	X	1010999-4	LAMP, ELECTROLUMINESCENT	
		1	5	X	1010999-8	LAMP, ELECTROLUMINESCENT	
			4				
1	1	1	3		1008824-1	MASTER ALARM ANNUNCIATOR	
1	1	1	2		1010949-1	CONDITION ANNUNCIATOR	
1	1	1	1		2014550-011	SEXTANT HAND CONTROLLER	
							
						PROOFED	
